epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,598.592,1.74302,2.46605,1.7702,0.09247,0.12903,0.04801,0.01446,2.73975,3.5421,2.50772,0.0007294,0.0007294,0.0007294
43,612.208,1.97667,2.47892,1.85768,0.15355,0.16129,0.0819,0.02319,2.68239,3.58127,2.41748,0.0007228,0.0007228,0.0007228
44,625.163,1.82897,2.48444,1.80493,0.11744,0.16129,0.08449,0.02406,2.71819,3.57292,2.39653,0.0007162,0.0007162,0.0007162
45,638.183,1.71156,2.31385,1.68657,0.11744,0.16129,0.08449,0.02406,2.71819,3.57292,2.39653,0.0007096,0.0007096,0.0007096
46,651.856,1.69908,2.2546,1.7844,0.09819,0.16129,0.08093,0.02599,2.7339,3.60897,2.41999,0.000703,0.000703,0.000703
47,665.894,1.83305,2.40486,1.80197,0.11432,0.16129,0.06194,0.01489,2.6628,3.51933,2.3996,0.0006964,0.0006964,0.0006964
48,680.975,1.54803,2.14569,1.6865,0.11432,0.16129,0.06194,0.01489,2.6628,3.51933,2.3996,0.0006898,0.0006898,0.0006898
49,695.075,1.71377,2.42643,1.79853,0.14845,0.16129,0.06102,0.01307,2.64631,3.5454,2.39481,0.0006832,0.0006832,0.0006832
50,707.653,1.70568,2.22232,1.75891,0.14845,0.16129,0.06102,0.01307,2.64631,3.5454,2.39481,0.0006766,0.0006766,0.0006766
51,719.86,1.78342,2.32819,1.82465,0.14072,0.16129,0.04066,0.01025,2.61745,3.53977,2.40919,0.00067,0.00067,0.00067
52,732.406,1.89441,2.47304,1.91853,0.08123,0.16129,0.03805,0.00961,2.5923,3.57707,2.42511,0.0006634,0.0006634,0.0006634
